id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg35679868,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-04-27 00:08:18,egetrorx,Full Member,658,108,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,ico review https://icoshrimp.com/bitproperty-a-real-estate-investment-platform-powered-by-blockchain-and-smart-contract/,False
12,msg32369563,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-03-15 13:13:46,mukabokep,Full Member,490,108,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,there are already some projects that have property properties. what makes you sure to launch this project? I think there are very many projects that are almost the same.,False
13,msg32372504,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-03-15 13:51:52,bitproperty.online,Newbie,6,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,"after completing the application form, you will see documents that confirm that the fund, right now has a lot of real estate for tokensisation http://ico.bitproperty.online/investmentform but the idea is not only in the sale of real estate, but also in highly liquid and stable from volatility, investments in real estate using tokens",False
14,msg32389623,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-03-15 17:51:13,SeveralQ,Member,182,11,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,"Hi everyone! Just added Bitproperty ICO to my website https://concourseq.io/Q/Bitproperty_/_Btp. ConcourseQ is a collaborative due diligence community that researches and reviews ICOs. Anyone with an account can submit information to your page, so we are reaching out to this community to get you all involved in the discussion. Thanks! PS: If you have any questions about filling in the info, feel free to ask us in our discord group: https://discord.gg/j8RBAwB",False
15,msg32443690,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-03-16 12:41:20,alexseuwka,Newbie,47,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,"Announced date of ICO, from 16 till 30 of april 2018",False
16,msg32445654,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-03-16 13:11:23,bitproperty.online,Newbie,6,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,correct link to this website https://concourseq.io/Q/Bitproperty all info will be there is wright,False
17,msg32498747,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-03-17 07:52:24,Olywen,Jr. Member,222,2,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,"Có vẻ như dự án rất tuyệt vời cho tương lai, có lẽ tôi có thể tham gia như một đội nếu bạn cần, tôi có thể làm như dịch tiếng Indonesia, đặc biệt là giấy trắng hoặc có thể là người quản lý tiền thưởng.",False
18,msg32498950,https://bitcointalk.org/index.php?topic=3129052.0,msg32443690,376,Announcements (Altcoins),2018-03-17 07:56:21,StealthPay,Newbie,130,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,   Plz check your email. We sent you a cooperation offer.,False
19,msg33465606,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-03-29 17:33:50,alexseuwka,Newbie,47,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,We sent you an application,False
20,msg33465809,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-03-29 17:36:45,Halono,Newbie,159,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,"It looks great with interesting ideas behind the project. Please update more details as soon as possible, dev. I need more information before deciding investing in the project.",False
21,msg33466281,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-03-29 17:43:21,Xandan,Hero Member,1106,502,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,Who has dealt with under constructions property understands the benefit of investment at that stage as price are always more higher once the building is constructed complete. But my question is about your huge difference between your soft cap and hard cap. If you are willing continue with only $800k same project then why to set that much maximum money ?,False
22,msg33762047,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-04-02 13:53:20,bitproperty.online,Newbie,6,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,"We want to enter the international level, this is requires investments. Soft cap is only for Russia will be done but no more.",False
23,msg33762763,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-04-02 14:02:04,bitproperty.online,Newbie,6,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,Bitproperty on the CryptoEvent 2018 https://www.youtube.com/watch?v=Ng2CXLk5rRg&t=52s,False
24,msg33901211,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-04-04 08:22:43,bitproperty.online,Newbie,6,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,Very goood news! We will add all information!!!!!!,False
25,msg34375948,https://bitcointalk.org/index.php?topic=3129052.0,msg34375814,376,Announcements (Altcoins),2018-04-10 13:10:55,alexseuwka,Newbie,47,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅, ,False
26,msg34963178,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-04-18 00:08:11,julietwalter200,Newbie,123,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,Week number: 2 Facebook link: https://www.facebook.com/J.Walter2000 Your number in the table: 91 Bitcointalk username: julietwalter200   Repost:   1 – (18/04): https://www.facebook.com/J.Walter2000/posts/393593961109695 2 – (19/04): https://www.facebook.com/J.Walter2000/posts/394016937734064 3 – (20/04): https://www.facebook.com/J.Walter2000/posts/394425001026591 4 – (21/04): https://www.facebook.com/J.Walter2000/posts/394820650987026 5 – (23/04): https://www.facebook.com/J.Walter2000/posts/395519340917157  Posts:  1 – (18/04): https://www.facebook.com/J.Walter2000/posts/393594397776318 2 – (19/04): https://www.facebook.com/J.Walter2000/posts/394018681067223 3 – (20/04): https://www.facebook.com/J.Walter2000/posts/394425531026538   Week number: 3 Your number in the table: 91  Repost:  1 - (25/04): https://www.facebook.com/J.Walter2000/posts/396382040830887 2 - (26/04): https://www.facebook.com/J.Walter2000/posts/397105857425172 3 - (27/04): https://www.facebook.com/J.Walter2000/posts/397106414091783 4 - (28/04): https://www.facebook.com/J.Walter2000/posts/398290813973343 5 - (29/04): https://www.facebook.com/J.Walter2000/posts/398290647306693  Posts:  1 - (25/04): https://www.facebook.com/J.Walter2000/posts/396382504164174 2 - (26/04): https://www.facebook.com/J.Walter2000/posts/397105760758515 3 - (27/04): https://www.facebook.com/J.Walter2000/posts/397106844091740     Week number: 4 Your number in the table: 91  Repost: 1 - (1st/05): https://www.facebook.com/J.Walter2000/posts/398724060596685 2 - (2/05): https://www.facebook.com/J.Walter2000/posts/399098150559276 3 - (3/05): https://www.facebook.com/J.Walter2000/posts/399782113824213 4 - (4/05): https://www.facebook.com/J.Walter2000/posts/399893547146403 5 - (5/05): https://www.facebook.com/J.Walter2000/posts/400286113773813  Posts: 1 - (1st/05): https://www.facebook.com/J.Walter2000/posts/398724740596617 2 - (2/05): https://www.facebook.com/J.Walter2000/posts/399098403892584 3 - (3/05): https://www.facebook.com/J.Walter2000/posts/399782573824167    Week number: 5 Your number in the table: 91  Repost: 1. https://www.facebook.com/J.Walter2000/posts/401459343656490 2. https://www.facebook.com/J.Walter2000/posts/401807533621671 3. https://www.facebook.com/J.Walter2000/posts/402192140249877 4. https://www.facebook.com/J.Walter2000/posts/402573173545107 5. https://www.facebook.com/J.Walter2000/posts/402943210174770  Posts: 1. https://www.facebook.com/J.Walter2000/posts/401459746989783 2. https://www.facebook.com/J.Walter2000/posts/401808003621624 3. https://www.facebook.com/J.Walter2000/posts/402192973583127    Week number: 6 Your number in the table: 91  Repost: 1. https://www.facebook.com/J.Walter2000/posts/404156070053484 2. https://www.facebook.com/J.Walter2000/posts/404524366683321 3. https://www.facebook.com/J.Walter2000/posts/404875669981524 4. https://www.facebook.com/J.Walter2000/posts/406003853202039 5. https://www.facebook.com/J.Walter2000/posts/406709323131492  Posts: 1. https://www.facebook.com/J.Walter2000/posts/404157120053379 2. https://www.facebook.com/J.Walter2000/posts/404526980016393 3. https://www.facebook.com/J.Walter2000/posts/404876403314784,False
27,msg34988252,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-04-18 09:52:41,supernva,Newbie,140,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,What makes your project different between other similar projects?,False
28,msg34990870,https://bitcointalk.org/index.php?topic=3129052.0,msg34988252,376,Announcements (Altcoins),2018-04-18 10:29:13,alexseuwka,Newbie,47,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,"   The idea is not only in the sale of real estate, but also in highly liquid and stable from volatility, investments in real estate using tokens",False
