id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg8906974,https://bitcointalk.org/index.php?topic=789952.0,msg8902541,15659,Announcements (Altcoins),2014-09-20 23:43:02,nightwishx,Hero Member,865,500,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,   Agree. If there is no innovation that is shitcoin..,False
12,msg8935526,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-23 07:02:44,citicoin,Newbie,14,0,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"Website design and hosting needed, if your interested please pm me. Thank you",False
13,msg9025053,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-30 04:56:41,Fulushou,Newbie,28,0,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,any news?,False
14,msg9027665,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-30 11:12:47,citicoin,Newbie,14,0,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"Hello, we are still in development and making sure every step of development in turn is correct. Hopefully I will be able to release a date and time soon. Thanks",False
15,msg9027791,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-30 11:25:27,fandexinse,Member,66,10,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"Please publish as soon as possible launch time to prepare and set the countdown, thank you!",False
16,msg9027817,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-30 11:28:50,fandexinse,Member,66,10,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"A block of time, please be controlled within 1 minute 30 seconds, otherwise they will be difficult to adjust the card block, Soon die! The best reward is the magnitude of the block type！",False
17,msg9029689,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-30 14:37:25,newdev12,Full Member,169,100,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"im still waiting for this coin, looks cool. The nice looking logo is great for advertisement and really easy to recognise/ remember. I hope the development will follow",False
18,msg9232702,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-10-17 10:40:07,yueyixian,Newbie,67,0,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon, :(why？,False
19,msg9275671,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-10-21 09:46:40,citicoin,Newbie,14,0,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"Update: Citicoin is still going to be released, when is still a question? I have been busy with work commitments at this moment so things have slowed but still very much in my thoughts. Just keep looking for new information via here or twitter, again plenty of notice will be given for the release date when I have every thing ready and in place. If you would like to contribute or have any ideas you would like to put forward then please make contact. Thank you",False
20,msg9275870,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-10-21 10:09:21,bykardinal,Hero Member,1134,511,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"10min blocktime and 50 coins per block, 210k premine its to much. its like 30 days solo mining.  Waiting for exchange, sell coins and bye bye. Right ?)",False
21,msg8902332,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-20 15:49:48,citicoin,Newbie,14,0,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"http://i.imgur.com/w8kXcnT.gif  Citicoin Coming soon   Citicoin (CITI) is a alternative Crypto currency and a Scrypt version of Bitcoin   Citicoin Scrypt Algo Total Supply: 21,000,000 (21 Million) Block Reward: 50 Citicoins Block Time: 10 Minutes Difficulty Re target: Every Block Reward halving interval: 210,000 blocks Citicoins already mined and in Public solitary confinement: 210,000 Citicoins (1%)    There are no confirmed dates of release at this moment and Citicoin is still in Development. You can look for updates via Citicoin twitter Page:  https://twitter.com/citicoins    There are opportunities for Development positions on all scales and sizes so if your are interested then feel free to make contact via PM.  Citicoin as a crypto currency will look to aspire in being an example in simplicity, continually being developed in every aspect not only by developers but developers of the community. Citicoin would like to be integrated into the latest development concepts and try and be at the forefront in not only being a crypto currency but a crypto currency which has a value for the people who use it.   Chinese translation: https://bitcointalk.org/index.php?topic=791271.0",False
22,msg8902397,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-20 15:57:34,SecondsOld,Sr. Member,364,250,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,What will make this coin stand out from the hundreds of other scrypt coins on the market?,False
23,msg8902422,https://bitcointalk.org/index.php?topic=789952.0,msg8902397,15659,Announcements (Altcoins),2014-09-20 16:00:13,jebus911,Full Member,138,100,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,   Getting sued by Citibank,False
24,msg8902519,https://bitcointalk.org/index.php?topic=789952.0,msg8902397,15659,Announcements (Altcoins),2014-09-20 16:11:13,citicoin,Newbie,14,0,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,   Its not a factor of standing out at this stage but it will stand out for being new. Standing out from other scrypt coins will come from continued development and from that development it will bring results. Its not a question i can answer because Citicoin is not being developed to be complicated. Complicated messages and codes at this moment makes people believe and think its the way forward but its not in Citicoin's Case. Thank you,False
25,msg8902541,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-20 16:14:39,Adamlm,Hero Member,804,1000,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,   Looks like a bitcoin parameters for a scrypt coin. Nothing new indeed.,False
26,msg8902559,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-20 16:16:48,Blazr2,Full Member,218,100,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,Coingen clone huh? Cue Citicorp lawyers in...,False
27,msg8902561,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-20 16:16:58,majeis,Sr. Member,448,250,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,Another 10 minute coin...,False
28,msg8902673,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-20 16:28:26,bttshenxian,Member,69,10,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"dev, what time the official launch, set the countdown, thank you!",False
29,msg8902756,https://bitcointalk.org/index.php?topic=789952.0,msg8902397,15659,Announcements (Altcoins),2014-09-20 16:36:24,shojayxt,Legendary,896,1000,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,   Nothing,False
30,msg8902799,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-20 16:39:56,askcoin2,Member,107,10,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,Very nice logo - I like it :-),False
31,msg8903294,https://bitcointalk.org/index.php?topic=789952.0,msg8902673,15659,Announcements (Altcoins),2014-09-20 17:24:09,citicoin,Newbie,14,0,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,   I will add a countdown when it is ready as the development is not finished at this moment. There will be plenty of notice. Thank you,False
32,msg8903320,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-20 17:26:29,xinyichao,Sr. Member,250,250,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,Any new feature here?,False
33,msg8903342,https://bitcointalk.org/index.php?topic=789952.0,msg8902332,15659,Announcements (Altcoins),2014-09-20 17:28:22,Mr.Silver,Full Member,140,100,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,      noooo again 10min block ,False
34,msg8903347,https://bitcointalk.org/index.php?topic=789952.0,msg8902422,15659,Announcements (Altcoins),2014-09-20 17:28:58,Francecrypto,Full Member,238,100,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"    Will be dead long before they even know about it, don't worry",False
35,msg8903374,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-20 17:31:47,bttshenxian,Member,69,10,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"What are your plans, please provide the road map, thank you!  Block time 10 minutes too long, can cause death directly coin, please be careful!",False
36,msg8903378,https://bitcointalk.org/index.php?topic=789952.0,msg8903320,15659,Announcements (Altcoins),2014-09-20 17:32:14,citicoin,Newbie,14,0,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"   No there is no new feature here, new features will be within development and this will happen in due course. Citicoin is not offering difference in terms of the coins code. Thank you",False
37,msg8903399,https://bitcointalk.org/index.php?topic=789952.0,msg8902422,15659,Announcements (Altcoins),2014-09-20 17:34:23,Adamlm,Hero Member,804,1000,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"   Just change the coin's name to CITYcoin and no problem here. But leave the logo as it is, I like it",False
38,msg8903992,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-20 18:33:22,newdev12,Full Member,169,100,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"i will be watching this, nice and original i also like the logo",False
39,msg8904091,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-20 18:45:11,newboi,Full Member,280,100,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"start off with making small businesses aware of your coin, then use, then a whole city will adapt to and use citicoin you may then have a success ",False
40,msg8906269,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-20 22:24:26,minethemall,Full Member,199,100,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"Looks clean, scrypt never disappoints",False
