id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg36325740,https://bitcointalk.org/index.php?topic=3096913.0,msg35203866,40786,Marketplace (Altcoins),2018-05-04 19:17:26,Nginende,Member,210,10,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",  Week #8 (28/04 - 04/05) Twitter profile: https://twitter.com/Easy_Sem Retweets and likes: 1. https://twitter.com/timeboxnetwork/status/990983946279235585 2. https://twitter.com/timeboxnetwork/status/991328085483118595 3. https://twitter.com/timeboxnetwork/status/991640660712329217 4. https://twitter.com/timeboxnetwork/status/992459577294761985 Tweets: 1. https://twitter.com/Easy_Sem/status/991652485248028672,True
12,msg35919651,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-30 01:59:33,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
13,msg35919702,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-30 02:01:32,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
14,msg35924318,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-04-30 04:17:15,PavelMed,Full Member,448,106,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲","Tokens received, thanks. It remains to wait for their growth. I hope the tokens will do x10)",True
15,msg35940563,https://bitcointalk.org/index.php?topic=3096913.0,msg35924318,40786,Marketplace (Altcoins),2018-04-30 09:28:28,ice098,Hero Member,994,500,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",  does TB is the symbol of timebox? and can we just removed our signature? thanks,True
16,msg35955169,https://bitcointalk.org/index.php?topic=3096913.0,msg35940563,40786,Marketplace (Altcoins),2018-04-30 13:25:37,hua_hui,Legendary,1386,1016,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲","   i believed i replied you in pm. and yes you can remove your signature. in fact, you can remove it since weeks ago. do check out the 1st post of this thread for all the updates.  Quote from: PavelMed on April 30, 2018, 04:17:15 AM Tokens received, thanks. It remains to wait for their growth. I hope the tokens will do x10)  it will be quite a while of waiting as the project did not hit the softcap. but they are still continue with the project and have to go through the slow and tedious way of private fund rising.",True
17,msg35957047,https://bitcointalk.org/index.php?topic=3096913.0,msg35235565,40786,Marketplace (Altcoins),2018-04-30 13:51:22,cryptocollecter55,Member,252,10,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",  Week 7 (28.04-04.05)  Twitter URL: https://twitter.com/altlover1997 Spreadsheet  number: 1297  Like & retweets: 1. https://twitter.com/timeboxnetwork/status/975649800296185856 2. 3. Tweet: 1.,True
18,msg35961331,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-04-30 14:48:44,fudge1801,Newbie,61,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",I already receive timebox token thank you so much .. Hoping this project success ..😊😊😊  Good luck to all investors and bounty teams #TimeBox,True
19,msg36032356,https://bitcointalk.org/index.php?topic=3096913.0,msg35604405,40786,Marketplace (Altcoins),2018-05-01 13:22:25,thachluan,Newbie,112,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",    Week 8 (27/04 - 03/05)                      Twitter Link: https://twitter.com/topcoin_Free                      Number on Spreadsheet : 1982                      Retweet & Likes:                   1   https://twitter.com/timeboxnetwork/status/980077227973869569                   2   https://twitter.com/timeboxnetwork/status/979637163204657152                   3   https://twitter.com/timeboxnetwork/status/978879274051624960                      Tweet:                   1   https://twitter.com/topcoin_free/status/989698140042231808      ,True
20,msg36080769,https://bitcointalk.org/index.php?topic=3096913.0,msg35955169,40786,Marketplace (Altcoins),2018-05-02 05:32:21,anwear,Full Member,784,100,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",  This great project can not reach softcap but still want to continue the project and want to distribute to the bounty hunter,True
21,msg36088197,https://bitcointalk.org/index.php?topic=3096913.0,msg35512539,40786,Marketplace (Altcoins),2018-05-02 07:44:31,theaulian,Newbie,140,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",  TWITTER CAMPAIGN Week 8 (Apr 29 to Mei 05) Bitcointalk username : theaulian Twitter link: https://twitter.com/aulianbasira02 Twitter user : @aulianbasira02 Retweet: 1. https://twitter.com/timeboxnetwork/status/978879274051624960 2. https://twitter.com/timeboxnetwork/status/977054538086596608 3. https://twitter.com/timeboxnetwork/status/976683864121778176  Tweet: 1. https://twitter.com/aulianbasira02/status/990727812943249409,True
22,msg36270862,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-05-04 07:45:38,knix swe,Newbie,168,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",Week (28/04-04/05) Twitter url: https://mobile.twitter.com/Nahida_akter38 Retweet link: 1. https://twitter.com/timeboxnetwork/status/992294807429988360?s=19 2. https://twitter.com/timeboxnetwork/status/984722903324241920?s=19 3. https://twitter.com/timeboxnetwork/status/984014667528974336?s=19  Tweet link: 1. https://twitter.com/Nahida_akter38/status/992308368877338625?s=19,True
23,msg36279547,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-05-04 09:50:34,filsid,Full Member,630,103,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲","TimeBox is the best choice for your precious memory!  If there is a TimeBox, there is the memory!  Shannon Everett, a 22-year-old British woman, suddenly suffered from “amniotic fluid embolism” during the production process. At the moment her heart stopped beating. After more than an hour’s rescue, the doctor finally gave birth to her son Nico. Although dead and resurrected, the memory returned to 13 years old, did not recognize her fiancé Loan!  Comprehensive foreign media reports, Shannon in childbirth occurred when the “amniotic fluid embolism,” the situation, resulting in cardiopulmonary failure and coagulation abnormalities, and finally stopped his heartbeat. After the doctor rescued, Shannon returned to his heartbeat and successfully gave birth to Nico, but she was unconscious for two weeks in the hospital because her brain was damaged. When she woke up, she had forgotten who the Loan was and returned to her memory at the age of 13, And vision is also blurred due to brain damage.  Fell in love for six years, two people have a child, originally scheduled to hold a wedding, but due to the sudden pregnancy with a second child to suspend the plan, decided to give birth after marriage. Unexpectedly, Shannon worked hard for a pregnant ten months, but because of the process of delivery in front of the hell off and memory impairment, so Ian tears collapse. However, Ian said, “I love her and she will not think of me. I will not leave her and take care of her.” And I decided to play the movies of the past and assisted by her daughter in arousing this suddenly disappearing memory. https://medium.com/@timebox.network/if-there-is-a-timebox-there-is-the-memory-aececcee46cd",True
24,msg36298944,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-05-04 13:59:08,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",Week(28/04-04/05)  twitter url: https://mobile.twitter.com/Nahidaa37155474 Twitter link : 1.https://twitter.com/timeboxnetwork/status/992294807429988360?s=19 2.https://twitter.com/timeboxnetwork/status/977106337946456064?s=19 3.https://twitter.com/timeboxnetwork/status/978879274051624960?s=19  Tweet link: 1.https://twitter.com/Nahidaa37155474/status/992402785126703105?s=19,True
25,msg36308640,https://bitcointalk.org/index.php?topic=3096913.0,msg35726191,40786,Marketplace (Altcoins),2018-05-04 15:44:40,shalinda12,Newbie,238,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",   TWITTER CAMPAIGN Bitcointalk Username: shalinda12 Twitter Username: @shalisamarakoon Twitter URL: https://twitter.com/shalisamarakoon Spreadsheet:1113  Week 8 Apr 28 to May 04 Retweet: 1. https://twitter.com/shalisamarakoon/status/990270943007211521 2. https://twitter.com/shalisamarakoon/status/990425077442318337 3. https://twitter.com/shalisamarakoon/status/990981891468808197 Tweet: 1. https://twitter.com/shalisamarakoon/status/991294293259313152,True
26,msg36323992,https://bitcointalk.org/index.php?topic=3096913.0,msg35203143,40786,Marketplace (Altcoins),2018-05-04 18:54:19,ElizRu,Member,196,10,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",  Week 8 (28/04 - 04/05) Twitter username: @eric_krasun Twitter URL: https://twitter.com/eric_krasun Retweets and likes: 1. https://twitter.com/timeboxnetwork/status/990976858182311937 2. https://twitter.com/timeboxnetwork/status/991309099202641926 3. https://twitter.com/timeboxnetwork/status/991633520064950272 4. https://twitter.com/timeboxnetwork/status/992453187876552704 Tweets: 1. https://twitter.com/eric_krasun/status/991650543734067200,True
27,msg36324334,https://bitcointalk.org/index.php?topic=3096913.0,msg35203665,40786,Marketplace (Altcoins),2018-05-04 18:58:28,fork100,Member,252,10,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",  Week #8 - 28.04.2018-04.05.2018 Twitter Campaign Twitter: @JNCAdvisor Twitter URL: https://twitter.com/JNCAdvisor Followers: 10903 Retweets and likes: 1. https://twitter.com/timeboxnetwork/status/990981798460043265 2. https://twitter.com/timeboxnetwork/status/991320408266821634 3. https://twitter.com/timeboxnetwork/status/991638763146301440 4. https://twitter.com/timeboxnetwork/status/992457497901494273 Tweets: 1. https://twitter.com/JNCAdvisor/status/991651212016652288,True
28,msg35827356,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-04-28 21:21:30,Frank76,Member,462,10,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",Week #7 (22.04-28.04)  Twitter Link: https://twitter.com/bit_world_wide  Number on Spreadsheet : 12949  Retweet: 1. https://twitter.com/timeboxnetwork/status/975649800296185856 2. https://twitter.com/timeboxnetwork/status/975651488096690176 3. https://twitter.com/timeboxnetwork/status/975670531801272320  Tweet: 1. https://twitter.com/bit_world_wide/status/990339878796787718,True
29,msg35827378,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-04-28 21:21:57,Seneka,Hero Member,1064,505,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",week 1: https://bitcointalk.org/index.php?topic=3096913.msg32454549#msg32454549 week 2: https://bitcointalk.org/index.php?topic=3096913.msg33005302#msg33005302 week 3: https://bitcointalk.org/index.php?topic=3096913.msg33244337#msg33244337 week 4: https://bitcointalk.org/index.php?topic=3096913.msg33683823#msg33683823 week 5: https://bitcointalk.org/index.php?topic=3096913.msg34175730#msg34175730 week 6: https://bitcointalk.org/index.php?topic=3096913.msg34862267#msg34862267 week 7: https://bitcointalk.org/index.php?topic=3096913.msg35408396#msg35408396 Week #8 (Apr 28 to May 04) Twitter profile: https://twitter.com/LuciusSeneka Retweet: 1. 2. 3. Tweets: 1.,True
30,msg35833773,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-04-29 00:06:40,hua_hui,Legendary,1386,1016,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲","Update 7: Tokens for the telegram airdrop has been distributed. The signature and the twitter will be sent out soon. Do take note that Timebox failed to hit the softcap. In the event of unable to meet the softcap, dev team can choose to cancel the project and investors will be refunded and bounty participants will not be able to receive any tokens. That is the risk of taking part in alt coin bounty campaign. You risk to gain more, but you also can got nothing for a cancelled project.  However for timebox, the team decided to continue the project and conduct private fund rising. There will be changes to the roadmap. On the good side, the team recognise the effort of the bounty participants, so they will still pay out for twitter and signature campaign.",True
31,msg35843627,https://bitcointalk.org/index.php?topic=3096913.0,msg35238613,40786,Marketplace (Altcoins),2018-04-29 05:24:51,mobilesony210,Newbie,238,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",   Week #8 ( 28.04.18 - 04.05.18 ) Twitter Link : https://twitter.com/ngohuynhdangtu1  Retweet: 1. https://twitter.com/timeboxnetwork/status/975040090438189057 2 3,True
32,msg35869156,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-04-29 12:29:19,fapar,Sr. Member,980,258,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",Token payments have begun. Though less than indicated in the final spreadsheets but nothing terrible. https://etherscan.io/tx/0x1f721dfe69ef3f7d66dcee37dc5411b523fdaa89dc525d5360f41704bfd34fff Token Balance:   33 TB,True
33,msg35874140,https://bitcointalk.org/index.php?topic=3096913.0,msg35382341,40786,Marketplace (Altcoins),2018-04-29 13:35:11,tesleo,Newbie,126,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",   Week 8  29 April 05 May ETH address: 0xc3ea6Aa60786e81cdF705D2E893E4815C3c9831F Twitter Url : https://twitter.com/AlexandrKulesh1 Retweet: 1 https://twitter.com/timeboxnetwork/status/975035733940477955 2 https://twitter.com/timeboxnetwork/status/971995583719157766 3 https://twitter.com/timeboxnetwork/status/975649800296185856  Tweet: https://twitter.com/AlexandrKulesh1/status/991624851868737536,True
34,msg35891944,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-29 17:20:19,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
35,msg35892029,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-29 17:21:29,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
36,msg35892237,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-29 17:24:34,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
37,msg35916938,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-30 00:22:35,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
38,msg35916980,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-30 00:24:19,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
39,msg35917042,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-30 00:26:54,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
40,msg35917121,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-30 00:29:58,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
41,msg35917186,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-30 00:32:27,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
42,msg35917228,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-30 00:33:35,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
43,msg35917262,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-30 00:35:16,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
44,msg35917501,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-30 00:44:08,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
45,msg35917526,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-30 00:45:08,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
46,msg35917553,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-30 00:45:56,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
47,msg35917601,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-30 00:47:30,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
48,msg35719656,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-04-27 13:33:16,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",Week(21/04-27/04)  Twitter url : https://mobile.twitter.com/Nahidaa37155474 Followers:3300 Retweet link: 1.https://twitter.com/timeboxnetwork/status/984722903324241920?s=19 2.https://twitter.com/timeboxnetwork/status/984014667528974336?s=19 3.https://twitter.com/timeboxnetwork/status/983616983059935232?s=19  Tweet link : 1.https://twitter.com/Nahidaa37155474/status/989858947879194625?s=19,True
49,msg35721871,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-04-27 14:02:14,MasterNods,Jr. Member,280,1,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",Week - 21.04.2018-27.04.2018  Twitter Campaign  Twitter: ponomarenkomakc https://twitter.com/ponomarenkomakc Followers: 10123 Number on the spreadsheet: 1655  Tweets  1. https://twitter.com/ponomarenkomakc/status/988413946968330240  Retweets and likes  1. https://twitter.com/timeboxnetwork/status/976359441330143232 2. https://twitter.com/timeboxnetwork/status/982592212784463872 3. https://twitter.com/timeboxnetwork/status/975670531801272320,True
50,msg35722380,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-04-27 14:08:47,ledortorba,Newbie,98,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",TWITTER CAMPAIGN  Twitter Profile Link: https://twitter.com/abrot_rodel WEEK #5 (April 7 - April 14) Spreadsheet #1679  Retweet: 1. https://twitter.com/timeboxnetwork/status/982592212784463872 2. https://twitter.com/timeboxnetwork/status/983616983059935232 3. Tweet: 1. https://twitter.com/abrot_rodel/status/983254904117518336 2. https://twitter.com/abrot_rodel/status/983781976103505921,True
51,msg35726191,https://bitcointalk.org/index.php?topic=3096913.0,msg35174472,40786,Marketplace (Altcoins),2018-04-27 15:00:35,shalinda12,Newbie,238,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",   TWITTER CAMPAIGN Bitcointalk Username: shalinda12 Twitter Username: @shalisamarakoon Twitter URL: https://twitter.com/shalisamarakoon Spreadsheet:1113  Week 7 Apr 21 to Apr 27 Retweet: 1. https://twitter.com/shalisamarakoon/status/987688111323860992 2. https://twitter.com/shalisamarakoon/status/987985286154993665 3. https://twitter.com/shalisamarakoon/status/988352099866980352 Tweet: 1. https://twitter.com/shalisamarakoon/status/987688239707258880,True
52,msg35726595,https://bitcointalk.org/index.php?topic=3096913.0,msg35167682,40786,Marketplace (Altcoins),2018-04-27 15:06:19,i7claufe,Member,378,42,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",   Week 7 (April.21 - April.27) TWITTER CAMPAIGN Twitter Profile: https://twitter.com/YaFavPuddin SPREADSHEET # : 1308  Retweet: 1. 04.25 - https://twitter.com/YaFavPuddin/status/989065676563283971 2. 04.26 - https://twitter.com/YaFavPuddin/status/989498883964207104 3. 04.27 - https://twitter.com/YaFavPuddin/status/989883172702769152  Tweet: 1. 04.27 - https://twitter.com/YaFavPuddin/status/989883254541987841,True
53,msg35727057,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-04-27 15:12:44,Rashid1608,Jr. Member,168,1,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",Week 7(21.04-27) Twitter : Twitter profile :https://mobile.twitter.com/rasheed1608  Twitter Followers :2094 Retweet & like : https://twitter.com/timeboxnetwork/status/984014667528974336?s=19                      https://twitter.com/timeboxnetwork/status/983616983059935232?s=19                      https://twitter.com/timeboxnetwork/status/976359441330143232?s=19     Tweet post :      https://twitter.com/rasheed1608/status/989883380497084416?s=19                                                     ,True
54,msg35730015,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-04-27 15:51:35,Audi-BMW1988,Member,140,11,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",is the bounty campaign is end or still running?,True
55,msg35734376,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-04-27 16:50:29,servantes1987,Newbie,154,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",Week - 21.04.2018-27.04.2018  Twitter Campaign  Twitter: aCj3vIigjMRbDfK https://twitter.com/aCj3vIigjMRbDfK Followers: 4781 Number on the spreadsheet: 885  Tweets  https://twitter.com/aCj3vIigjMRbDfK/status/988500773691711489 https://twitter.com/aCj3vIigjMRbDfK/status/988641701257515008 https://twitter.com/aCj3vIigjMRbDfK/status/989002607061594113 https://twitter.com/aCj3vIigjMRbDfK/status/988500773691711489,True
